game,gameLabel,genreLabel,developerLabel,releaseYear,maxUnitsSold
http://www.wikidata.org/entity/Q548203,Red Dead Redemption,приключенческий экшен,Rockstar San Diego,2024,8000000
http://www.wikidata.org/entity/Q5051796,Catechumen,историческая игра,N'Lightning Software Development,2024,80000
http://www.wikidata.org/entity/Q21152203,Besiege,стратегическая компьютерная игра,Spiderling Studios,2024,4000000
http://www.wikidata.org/entity/Q98582386,Black Myth: Wukong,action RPG,Game Science,2024,25000000
http://www.wikidata.org/entity/Q99397916,God of War Ragnarök,hack and slash,Jetpack Interactive,2024,15000000
http://www.wikidata.org/entity/Q60574050,Granblue Fantasy: Relink,action RPG,Cygames,2024,2000000
http://www.wikidata.org/entity/Q62049495,Satisfactory,симулятор строительства и управления,Coffee Stain Studios,2024,5500000
http://www.wikidata.org/entity/Q62569141,Risk of Rain 2,роуглайт,"Hopoo Games, LLC",2024,6040248
http://www.wikidata.org/entity/Q10865101,S.T.A.L.K.E.R. 2: Сердце Чернобыля,научно-фантастическая компьютерная игра,GSC Game World,2024,1400000
http://www.wikidata.org/entity/Q65051080,Workers & Resources: Soviet Republic,градостроительный симулятор,3Division Entertainment,2024,600000
http://www.wikidata.org/entity/Q24577667,Resident Evil 7: Biohazard,survival horror,Capcom,2024,16470000
http://www.wikidata.org/entity/Q15408545,Kingdom Come: Deliverance,историческая игра,Warhorse Studios,2024,10000000
http://www.wikidata.org/entity/Q16743241,Ominous Horizons: A Paladin's Calling,христианская компьютерная игра,N'Lightning Software Development,2024,50000
http://www.wikidata.org/entity/Q54920200,Resident Evil 2,survival horror,Capcom,2024,16870000
http://www.wikidata.org/entity/Q55381988,Hypercharge: Unboxed,казуальная игра,Digital Cybercherries,2024,100000
http://www.wikidata.org/entity/Q68573911,Green Hell,симулятор выживания,Creepy Jar,2024,6000000
http://www.wikidata.org/entity/Q75135732,Path of Exile 2,компьютерная игра в жанре тёмного фэнтези,Grinding Gear Games,2024,1000000
http://www.wikidata.org/entity/Q77666947,The Outlast Trials,survival horror,Red Barrels,2024,1600000
http://www.wikidata.org/entity/Q104882978,Skul: The Hero Slayer,action roguelike,SouthPAW Games,2024,2000000
http://www.wikidata.org/entity/Q105100327,Valheim,симулятор выживания,Iron Gate Studio,2024,12000000
http://www.wikidata.org/entity/Q105486599,Tekken 8,3D-файтинг,Bandai Namco Studios,2024,3000000
http://www.wikidata.org/entity/Q113959701,Pacific Drive,симулятор выживания,Ironwood Studios,2024,1500000
http://www.wikidata.org/entity/Q113989188,Palworld,игра с приручением монстров,Pocket Pair,2024,15000000
http://www.wikidata.org/entity/Q114133720,Dig or Die,компьютерная ролевая игра,Gaddy Games,2024,250000
http://www.wikidata.org/entity/Q114770599,Q114770599,survival horror,Bloober Team,2024,2500000
http://www.wikidata.org/entity/Q110055360,"Warhammer 40,000: Space Marine II",hack and slash,Saber Interactive,2024,7000000
http://www.wikidata.org/entity/Q110379185,Sons of the Forest,survival horror,Endnight Games,2024,2000000
http://www.wikidata.org/entity/Q111968487,Another Crab’s Treasure,soulslike,Aggro Crab,2024,30000
http://www.wikidata.org/entity/Q112055534,V Rising,симулятор выживания,Stunlock Studios,2024,5000000
http://www.wikidata.org/entity/Q112609559,Dragon’s Dogma II,фэнтезийная компьютерная игра,Capcom,2024,4000000
http://www.wikidata.org/entity/Q112662958,Nine Sols,сайд-скроллер,Red Candle Games,2024,800000
http://www.wikidata.org/entity/Q107215354,Slime Rancher 2,biological simulation video game,Monomi Park,2024,2000000
http://www.wikidata.org/entity/Q108481438,Stellar Blade,постапокалиптическая компьютерная игра,PlayStation Studios XDev,2024,3000000
http://www.wikidata.org/entity/Q108750065,Earth Defense Force 6,шутер от третьего лица,Sandlot,2024,600000
http://www.wikidata.org/entity/Q125636766,The Hungry Lamb: Traveling in the Late Ming Dynasty,визуальная новелла,Zerocreation Games,2024,1000000
http://www.wikidata.org/entity/Q118143124,"Little Kitty, Big City",симулятор,Double Dagger Studio,2024,100000
http://www.wikidata.org/entity/Q118645527,Helldivers 2,horde shooter,Arrowhead Game Studios,2024,12000000
http://www.wikidata.org/entity/Q118645627,Concord,геройский шутер,Firewalk Studios,2024,25000
http://www.wikidata.org/entity/Q119224900,Prince of Persia: The Lost Crown,метроидвания,Ubisoft Montpellier,2024,1000000
http://www.wikidata.org/entity/Q119294958,Persona 3 Reload,японская ролевая игра,P Studio,2024,2070000
http://www.wikidata.org/entity/Q119361001,Star Wars Outlaws,приключенческий экшен,Q1466613,2024,1000000
http://www.wikidata.org/entity/Q119362054,Metaphor: ReFantazio,компьютерная ролевая игра,Atlus,2024,2000000
http://www.wikidata.org/entity/Q114995908,Dave the Diver,приключенческая компьютерная игра,Mintrocket,2024,5000000
http://www.wikidata.org/entity/Q115232287,A Little to the Left,головоломка,Max Inferno,2024,1000000
http://www.wikidata.org/entity/Q116980062,Like a Dragon: Infinite Wealth,action RPG,Ryu Ga Gotoku Studio,2024,1660000
http://www.wikidata.org/entity/Q117462328,Undisputed,симулятор бокса,Steel City Interactive,2024,1000000
http://www.wikidata.org/entity/Q117789120,Bread & Fred,платформер,Sand Castles Studio,2024,500000
http://www.wikidata.org/entity/Q113647971,Dredge,inventory management video game,Black Salt Games,2024,1000000
http://www.wikidata.org/entity/Q111226944,Warno,стратегия в реальном времени,Eugen Systems,2024,250000
http://www.wikidata.org/entity/Q109906111,Frostpunk 2,градостроительный симулятор,11 bit studios,2024,350000
