game,gameLabel,genreLabel,developerLabel,releaseYear
http://www.wikidata.org/entity/Q54920200,Resident Evil 2,survival horror,Capcom,2024
http://www.wikidata.org/entity/Q54920200,バイオハザード RE:2,survival horror,Capcom,2024
http://www.wikidata.org/entity/Q112609559,Dragon’s Dogma II,action RPG,Capcom,2024
http://www.wikidata.org/entity/Q119361233,Kunitsu-Gami: Path of the Goddess,экшен,Capcom,2024
http://www.wikidata.org/entity/Q126723238,逆転検事1&2 御剣セレクション,приключенческая компьютерная игра,Capcom,2024
http://www.wikidata.org/entity/Q126963191,デッドライジング デラックスリマスター,приключенческая компьютерная игра,Capcom,2024
http://www.wikidata.org/entity/Q5449486,Finalizer,вертикальный скролл-шутер,Konami,2024
http://www.wikidata.org/entity/Q5449486,ファイナ・ライザー,вертикальный скролл-шутер,Konami,2024
http://www.wikidata.org/entity/Q124679947,F1 24,гоночная игра,Codemasters,2024
http://www.wikidata.org/entity/Q126744144,Beyond Good & Evil 20th Anniversary Edition,приключенческая компьютерная игра,Ubisoft,2024
http://www.wikidata.org/entity/Q124313307,WWE 2K24,спортивная компьютерная игра,Visual Concepts,2024
http://www.wikidata.org/entity/Q127328619,NBA 2K25,спортивная компьютерная игра,Visual Concepts,2024
http://www.wikidata.org/entity/Q17182512,Hunt: Showdown 1896,шутер от первого лица,Crytek,2024
http://www.wikidata.org/entity/Q107578877,XDefiant,шутер от первого лица,Ubisoft,2024
http://www.wikidata.org/entity/Q113675008,Assassin's Creed Mirage,приключенческий экшен,Ubisoft Romania,2024
http://www.wikidata.org/entity/Q122560228,サガ エメラルド ビヨンド,компьютерная ролевая игра,Square Enix,2024
http://www.wikidata.org/entity/Q123698973,Visions of Mana,action RPG,Square Enix,2024
http://www.wikidata.org/entity/Q123698973,聖剣伝説 VISIONS of MANA,action RPG,Square Enix,2024
http://www.wikidata.org/entity/Q126723409,ロマンシング サガ2 リベンジオブザセブン,компьютерная ролевая игра,Square Enix,2024
http://www.wikidata.org/entity/Q130475183,エンバーストーリア,тактическая ролевая игра,Square Enix,2024
http://www.wikidata.org/entity/Q112617712,ファイナルファンタジーVII リバース,action RPG,Square Enix,2024
http://www.wikidata.org/entity/Q104651901,Dragon Age: The Veilguard,приключенческая компьютерная игра,BioWare,2024
http://www.wikidata.org/entity/Q104651901,Dragon Age: La Guardia del Velo,приключенческая компьютерная игра,BioWare,2024
http://www.wikidata.org/entity/Q104651901,Dragon Age: На страже Завесы,приключенческая компьютерная игра,BioWare,2024
http://www.wikidata.org/entity/Q128210432,The Sims 4: Lovestruck,симулятор жизни,Maxis,2024
http://www.wikidata.org/entity/Q123145027,Manic Mechanics,экшен,4J Studios,2024
http://www.wikidata.org/entity/Q114770599,Silent Hill 2,survival horror,Bloober Team,2024
http://www.wikidata.org/entity/Q125962931,Call of Duty: Black Ops 6,шутер от первого лица,Treyarch,2024
http://www.wikidata.org/entity/Q124822659,F1 Manager 2024,racing management video game,Frontier Developments,2024
http://www.wikidata.org/entity/Q127386040,Planet Coaster 2,симулятор,Frontier Developments,2024
http://www.wikidata.org/entity/Q126390319,Lego Horizon Adventures,приключенческий экшен,Guerrilla Games,2024
http://www.wikidata.org/entity/Q130360291,Horizon Zero Dawn Remastered,action RPG,Guerrilla Games,2024
http://www.wikidata.org/entity/Q123220333,スカーズ ・オブ・マーズ,компьютерная ролевая игра,Acquire,2024
http://www.wikidata.org/entity/Q123662975,Hookah Haze,визуальная новелла,Acquire,2024
http://www.wikidata.org/entity/Q123907128,雨魂 -AMEDAMA-,приключенческий экшен,Acquire,2024
http://www.wikidata.org/entity/Q124370665,超古代兵器ホリー,roguelike,Acquire,2024
http://www.wikidata.org/entity/Q130238564,호연,массовая многопользовательская ролевая онлайн-игра,NCSoft,2024
http://www.wikidata.org/entity/Q122914946,The First Descendant,шутер от третьего лица,Nexon,2024
http://www.wikidata.org/entity/Q122914946,퍼스트 디센던트,шутер от третьего лица,Nexon,2024
http://www.wikidata.org/entity/Q123145125,初音ミク 不思議なホシと願いのかけら,головоломка,Crypton Future Media,2024
http://www.wikidata.org/entity/Q600784,Throne and Liberty,массовая многопользовательская ролевая онлайн-игра,NCSoft,2024
http://www.wikidata.org/entity/Q600784,쓰론 앤 리버티,массовая многопользовательская ролевая онлайн-игра,NCSoft,2024
http://www.wikidata.org/entity/Q123473426,The Last of Us Part II Remastered,survival horror,Naughty Dog,2024
http://www.wikidata.org/entity/Q99397916,God of War Ragnarök,приключенческий экшен,Santa Monica Studio,2024
http://www.wikidata.org/entity/Q122914994,Enshrouded,компьютерная ролевая игра,Keen Games,2024
http://www.wikidata.org/entity/Q125526141,Solo Leveling: Arise,экшен,Netmarble,2024
http://www.wikidata.org/entity/Q126918071,Star Wars: Bounty Hunter,приключенческий экшен,Aspyr Media,2024
http://www.wikidata.org/entity/Q130360274,Legacy of Kain: Soul Reaver 1-2 Remastered,приключенческий экшен,Aspyr Media,2024
http://www.wikidata.org/entity/Q30253211,Skull & Bones,пошаговая тактика,Ubisoft Kyiv,2024
http://www.wikidata.org/entity/Q113675008,Assassin's Creed Mirage,приключенческий экшен,Ubisoft Kyiv,2024
